,Variable,Importance
14,G3,0.038750578
279,G37_std_Target Sequence_dist,0.010701539
315,G24_Target Sequence_base_perc,0.010122557
242,G32_SMILES_base,0.008467107
244,G32_Target Sequence_base,0.008139675
140,G9,0.0077029397
69,G14_std_Target Sequence_dist,0.0073689553
287,G38_Target Sequence_base_perc,0.0072363433
119,G7_Target Sequence_base_perc,0.0071348837
32,G25_SMILES_base,0.0071342015
228,G28_SMILES_base,0.0067542167
102,G6_SMILES_base,0.006436735
284,G38_SMILES_base,0.006263342
328,G10_Target Sequence_base,0.0062283655
270,G37_SMILES_base,0.0062219314
74,G2_SMILES_base,0.006182396
214,G27_SMILES_base,0.006180522
49,G31_Target Sequence_base_perc,0.0060172435
88,G5_SMILES_base,0.0059525124
286,G38_Target Sequence_base,0.0059414194
314,G24_Target Sequence_base,0.0058369953
231,G28_Target Sequence_base_perc,0.0058237123
272,G37_Target Sequence_base,0.005788056
327,G10_SMILES_base_perc,0.0057196743
66,G14_fd_SMILES_base,0.005615883
215,G27_SMILES_base_perc,0.005552106
326,G10_SMILES_base,0.005539155
18,G3_SMILES_base,0.005518921
58,G14_SMILES_in_Target Sequence_perc,0.00539441
20,G3_Target Sequence_base,0.0053062835
217,G27_Target Sequence_base_perc,0.0052612163
76,G2_Target Sequence_base,0.0052349856
245,G32_Target Sequence_base_perc,0.005165253
27,G3_std_Target Sequence_dist,0.0051332554
144,G9_SMILES_base,0.0051107164
103,G6_SMILES_base_perc,0.005041316
160,G12_Target Sequence_base,0.0049135177
258,G36_Target Sequence_base,0.0048869126
172,G15_SMILES_base,0.004807898
117,G7_SMILES_base_perc,0.0046812426
4,G26_SMILES_base,0.0046700975
91,G5_Target Sequence_base_perc,0.004669064
271,G37_SMILES_base_perc,0.0046390565
118,G7_Target Sequence_base,0.0046235956
158,G12_SMILES_base,0.004610234
116,G7_SMILES_base,0.0045922208
312,G24_SMILES_base,0.0045806603
33,G25_SMILES_base_perc,0.004452623
75,G2_SMILES_base_perc,0.004431269
257,G36_SMILES_base_perc,0.0043922635
201,G21_SMILES_base_perc,0.0043655843
78,G2_fdp_SMILES_base,0.004346502
298,G39_SMILES_base,0.004317607
200,G21_SMILES_base,0.00431096
256,G36_SMILES_base,0.0043046596
251,G32_std_Target Sequence_dist,0.0042097005
77,G2_Target Sequence_base_perc,0.004178722
104,G6_Target Sequence_base,0.004161331
47,G31_SMILES_base_perc,0.0041547273
285,G38_SMILES_base_perc,0.004154234
89,G5_SMILES_base_perc,0.0041178986
247,G32_fdp_Target Sequence_base,0.004101492
21,G3_Target Sequence_base_perc,0.004067236
173,G15_SMILES_base_perc,0.004056418
230,G28_Target Sequence_base,0.0040113097
19,G3_SMILES_base_perc,0.0039674267
159,G12_SMILES_base_perc,0.003938325
293,G38_std_Target Sequence_dist,0.0039215786
111,G6_std_Target Sequence_dist,0.003872724
233,G28_fdp_Target Sequence_base,0.0038645843
175,G15_Target Sequence_base_perc,0.0038506703
67,G14_fd_Target Sequence_base,0.0038287467
299,G39_SMILES_base_perc,0.0038144279
143,G9_ARRO,0.0037806155
107,G6_fdp_Target Sequence_base,0.0037566402
273,G37_Target Sequence_base_perc,0.0037005786
202,G21_Target Sequence_base,0.0036708645
145,G9_SMILES_base_perc,0.0036662398
5,G26_SMILES_base_perc,0.0036534402
301,G39_Target Sequence_base_perc,0.0036511875
313,G24_SMILES_base_perc,0.0035778193
23,G3_fdp_Target Sequence_base,0.0035508845
56,G14,0.0035408626
203,G21_Target Sequence_base_perc,0.0034815439
229,G28_SMILES_base_perc,0.003447768
161,G12_Target Sequence_base_perc,0.003436499
240,G32_SMILES_in_Target Sequence_perc,0.003413316
188,G17_Target Sequence_base,0.0033819668
46,G31_SMILES_base,0.0033321935
291,G38_fd_Target Sequence_base,0.003311855
216,G27_Target Sequence_base,0.0033098136
268,G37_SMILES_in_Target Sequence_perc,0.003299065
300,G39_Target Sequence_base,0.0032736692
235,G28_fd_Target Sequence_base,0.0032659117
105,G6_Target Sequence_base_perc,0.0032640852
249,G32_fd_Target Sequence_base,0.0032114845
133,G8_Target Sequence_base_perc,0.0031988935
16,G3_SMILES_in_Target Sequence_perc,0.003155843
83,G2_std_Target Sequence_dist,0.0031551474
269,G37_ARRO,0.0031280871
34,G25_Target Sequence_base,0.0031139168
186,G17_SMILES_base,0.0031036874
147,G9_Target Sequence_base_perc,0.0031010539
68,G14_std_SMILES_dist,0.0030779114
131,G8_SMILES_base_perc,0.0030665833
48,G31_Target Sequence_base,0.003058399
220,G27_fd_SMILES_base,0.0030571043
110,G6_std_SMILES_dist,0.0030398746
246,G32_fdp_SMILES_base,0.0030249292
59,G14_ARRO,0.0030191904
289,G38_fdp_Target Sequence_base,0.0030128432
7,G26_Target Sequence_base_perc,0.002980455
109,G6_fd_Target Sequence_base,0.0029660382
259,G36_Target Sequence_base_perc,0.002962275
106,G6_fdp_SMILES_base,0.002955789
